timestep,id,left,top,height,width,img_height,img_width,parent
5,158,2377.490666,446.3810887,10,10,1920,2560,0
5,169,943.6728186,1560.235205,10,10,1920,2560,0
5,147,1265.849443,137.6873589,10,10,1920,2560,0
5,1,401.3977753,1364.560285,10,10,1920,2560,0
5,8,427.3897108,447.6597195,10,10,1920,2560,0
5,34,327.254304,678.1368112,10,10,1920,2560,0
5,128,297.1104386,1813.968313,10,10,1920,2560,0
5,129,960.1006804,1899.269118,10,10,1920,2560,0
5,130,401.6404521,498.4637804,10,10,1920,2560,0
5,135,884.2565301,1476.198796,10,10,1920,2560,0
5,2,1050.577718,1723.153697,10,10,1920,2560,0
5,5,2393.751929,627.391113,10,10,1920,2560,0
5,6,1440.777263,715.3355298,10,10,1920,2560,0
5,7,747.9851993,415.9435822,10,10,1920,2560,0
5,12,853.9733306,1270.179267,10,10,1920,2560,11
5,19,875.4322885,1218.161628,10,10,1920,2560,11
5,20,2154.2984,1647.333042,10,10,1920,2560,0
5,21,2385.06419,520.6489418,10,10,1920,2560,0
5,22,465.587554,896.4656744,10,10,1920,2560,0
5,27,231.5196358,1803.660987,10,10,1920,2560,0
5,28,1689.205942,1081.694762,10,10,1920,2560,0
5,30,2433.26955,560.7629284,10,10,1920,2560,29
5,33,2409.307247,543.764875,10,10,1920,2560,29
5,35,2188.583922,119.5061308,10,10,1920,2560,0
5,46,1354.155353,731.0284234,10,10,1920,2560,0
5,48,1293.261504,760.4844645,10,10,1920,2560,47
5,127,1343.488657,666.5765319,10,10,1920,2560,47
6,205,1697.9296,19.90548856,10,10,1920,2560,0
6,180,1365.401968,1214.732375,10,10,1920,2560,0
6,183,1694.951321,729.8830288,10,10,1920,2560,0
6,157,494.4611987,176.5126344,10,10,1920,2560,0
6,158,2384.922155,455.0077215,10,10,1920,2560,0
6,169,968.3605905,1538.357218,10,10,1920,2560,0
6,147,1267.442728,142.0509623,10,10,1920,2560,0
6,1,398.7726889,1368.177695,10,10,1920,2560,0
6,8,430.9130678,443.380458,10,10,1920,2560,0
6,34,328.0983569,683.2857284,10,10,1920,2560,0
6,128,302.5611032,1816.788727,10,10,1920,2560,0
6,129,945.4230675,1903.659697,10,10,1920,2560,0
6,130,397.9485024,497.7247333,10,10,1920,2560,0
6,135,871.2686249,1457.347793,10,10,1920,2560,0
6,2,1056.384359,1713.901124,10,10,1920,2560,0
6,5,2425.551535,614.6783021,10,10,1920,2560,0
6,6,1476.396361,706.3214608,10,10,1920,2560,0
6,7,747.7761441,417.0719069,10,10,1920,2560,0
6,12,862.0334396,1274.530927,10,10,1920,2560,11
6,19,873.4694883,1221.208138,10,10,1920,2560,11
6,20,2155.239677,1646.364754,10,10,1920,2560,0
6,21,2375.623356,547.6801731,10,10,1920,2560,0
6,22,501.7264978,912.1076611,10,10,1920,2560,0
6,27,232.9919323,1816.764393,10,10,1920,2560,0
6,28,1674.193657,1074.592289,10,10,1920,2560,0
6,30,2433.700758,532.5799312,10,10,1920,2560,29
6,33,2408.676068,536.346381,10,10,1920,2560,29
6,35,2189.108878,113.0625312,10,10,1920,2560,0
6,46,1345.531062,653.8522386,10,10,1920,2560,0
6,48,1347.521806,748.1272585,10,10,1920,2560,47
7,205,1697.260746,27.16045124,10,10,1920,2560,0
7,180,1368.330389,1180.668082,10,10,1920,2560,0
7,183,1692.720071,734.0220772,10,10,1920,2560,0
7,157,496.6288868,179.8064511,10,10,1920,2560,0
7,158,2386.568473,436.1445739,10,10,1920,2560,0
7,169,965.9936897,1563.504421,10,10,1920,2560,0
7,147,1267.453943,142.0981616,10,10,1920,2560,0
7,1,396.3656709,1367.451186,10,10,1920,2560,0
7,8,423.8665203,438.0826343,10,10,1920,2560,0
7,34,326.1672116,684.4072985,10,10,1920,2560,0
7,128,308.3418377,1820.453584,10,10,1920,2560,0
7,129,945.290838,1903.754687,10,10,1920,2560,0
7,130,411.6171723,470.1095681,10,10,1920,2560,0
7,135,870.4438714,1508.530017,10,10,1920,2560,0
7,2,1068.238358,1713.219214,10,10,1920,2560,0
7,5,2444.994638,600.4059028,10,10,1920,2560,0
7,6,1485.696694,705.9389772,10,10,1920,2560,0
7,7,741.7923659,419.7501856,10,10,1920,2560,0
7,12,872.6800794,1266.059063,10,10,1920,2560,11
7,19,864.521887,1215.60864,10,10,1920,2560,11
7,20,2151.401885,1647.928188,10,10,1920,2560,0
7,21,2370.549741,557.007829,10,10,1920,2560,0
7,23,488.781551,959.1650636,10,10,1920,2560,22
7,24,487.3366117,903.1773732,10,10,1920,2560,22
7,27,260.5043528,1815.711463,10,10,1920,2560,0
7,28,1669.086246,1066.368791,10,10,1920,2560,0
7,30,2417.098264,536.0117853,10,10,1920,2560,29
7,36,2181.982943,114.9260072,10,10,1920,2560,35
7,37,2140.280369,93.09304422,10,10,1920,2560,35
7,46,1342.673772,645.6633526,10,10,1920,2560,0
7,49,1317.170745,761.8843707,10,10,1920,2560,48
7,126,1383.718748,726.017238,10,10,1920,2560,48
8,206,1694.41388,34.39993313,10,10,1920,2560,205
8,207,1731.356609,15.50923496,10,10,1920,2560,205
8,180,1388.163525,1148.135559,10,10,1920,2560,0
8,183,1697.968404,734.0505827,10,10,1920,2560,0
8,157,506.9801579,183.267695,10,10,1920,2560,0
8,159,2405.699469,492.3049431,10,10,1920,2560,158
8,160,2391.11639,424.5354698,10,10,1920,2560,158
8,169,967.4958251,1555.478424,10,10,1920,2560,0
8,147,1268.261,143.5140793,10,10,1920,2560,0
